"","tumour","ODC1","angle"
"X-1004","X-1004",6.12474169241965,-73.8259027289655
"X-1008","X-1008",7.25342205763654,-157.901207427298
"X-1298","X-1298",4.96716860753263,-4.99020659110995
"X-1371","X-1371",5.80967167790706,-6.29831180413557
"X-1383","X-1383",6.58571370877816,-6.68210650264258
"X-1407","X-1407",7.05701696536554,0.238675955434459
"X-1468","X-1468",6.03694284479826,-9.34653538175328
"X-1600","X-1600",6.40854204229686,-4.21232450758521
"X-1631","X-1631",5.18982455888002,-169.781769544125
"X-1828","X-1828",4.37573453858316,-78.3760790500624
"X-1832","X-1832",5.80012335282653,-25.1426867139491
"X-1916","X-1916",6.39403389536778,-1.59478611093917
"X-1921","X-1921",6.47021145739054,-0.150833475386023
"X-2195","X-2195",4.26002565596146,0.0143921167882439
"X-2344","X-2344",3.39780296186249,-1.89394659059296
"X-2353","X-2353",5.27127625917593,-10.3380368288456
"X-2487","X-2487",6.32786697140204,-3.59742422880055
"X-2524","X-2524",7.51372759595244,-5.94273542511318
"X-2640","X-2640",6.41683974191283,6.83664979507702
"X-2780","X-2780",7.06856333533888,-3.85884233715699
"X-3077","X-3077",4.90303827011291,0.371750887435851
"X-3078","X-3078",4.69041709553247,-167.821748298753
"X-3201","X-3201",6.86876083388082,-113.528351891342
"X-3298","X-3298",4.0866139474095,-168.764365441704
"X-3450","X-3450",6.12887075946512,2.25723914565882
"X-3468","X-3468",1.09761079662642,-81.5768955206703
"X-3697","X-3697",4.05224198118114,-25.6613409616251
"X-3873","X-3873",7.55918586578773,-128.740190481982
"X-4347","X-4347",6.8241313793866,-5.02455335311707
"X-4567","X-4567",3.49825086752783,-171.856761611748
"X-4824","X-4824",6.78437310843037,-2.56647586225232
"X-4888","X-4888",6.73267622307331,-144.632487830631
"X-4949","X-4949",6.20261362014849,-4.26212212542596
"X-5249","X-5249",7.25313836969129,-12.2549953458279
"X-5355","X-5355",4.01970191444255,-164.519989502647
"X-5502","X-5502",7.54171616339314,-69.4579201118923
"X-5975","X-5975",5.78607355157855,-150.541086006589
"X-6047","X-6047",7.44377239276374,-7.20656305111297
